NAME OF THE COMPANY,,"PAY PACKAGE 
 (Rs. in lakhs p.a.)",BOND,BOND VALUE,NO. PLACED,p_t_id,year,,
ODESSA TECH, B'LORE,6.5,NO,NO,0,2,2016,,
ROLLS ROYCE, B'LORE,6.35,NO,NO,3,2,2016,,
EY-GDN, B'LORE,4.3,NO,NO,1,2,2016,,
VENTURE FACTORY,,0,NO,NO,0,2,2016,,
MISYS SOFTWARE,B'LORE,5.22,NO,NO,2,2,2016,,
L&T TECH, B'LORE,4,NO,NO,1,2,2016,,
CRISIL, CHENNAI,0,NO,NO,0,2,2016,,
TCE, B'LORE,5,NO,NO,4,2,2016,,
BOMBARDIER, GUJARATH,5.5,NO,NO,1,2,2016,,
FIAT INDIA, PUNE,0,NO,NO,0,2,2016,,
IDRIVE SOFTWARE, B'LORE,8,NO,NO,5,2,2016,,
SKYLARK DRONES,,5,NO,NO,2,2,2016,,
RESONANCE EDUVENTURES, KOTA,4.8,NO,NO,0,2,2016,,
BANK OF AMERICA,GURGAON,0,NO,NO,0,2,2016,,
HYUNDAI CONST, PUNE,4,NO,NO,1,2,2016,,
ALCATEL LUCENT,,8,NO,NO,1,2,2016,,
CYBERPLACE.COM, HYD,0,NO,NO,0,2,2016,,
KFIL,,0,NO,NO,0,2,2016,,
CARTHERO TECH, B'LORE,17,NO,NO,0,2,2016,,
TOYOTA KIRLOSKAR AUTO, B'LORE,0,NO,NO,0,2,2016,,
CA TECH, HYD,8,NO,NO,0,2,2016,,
VEDANTA GROUP, GOA,0,NO,NO,0,2,2016,,
SOCIETE GENERALE GLOBAL,,0,NO,NO,0,2,2016,,
ATOS INDIA, B'LORE,0,NO,NO,0,2,2016,,
CARTESIAN CONSULTING, B'LORE,0,NO,NO,0,2,2016,,
TIME INC INDIA, B'LORE,8,NO,NO,4,2,2016,,
COROMANDEL, HYD,,NO,NO,0,2,2016,,
BPCL, MUMBAI,0,NO,NO,0,2,2016,,
JSW STEEL, BELLARY,0,NO,NO,0,2,2016,,
AIRVANA NETWORKS, B'LORE,6.3,NO,NO,1,2,2016,,
TRES VISTA FINANCIAL, MUMBAI,0,NO,NO,0,2,2016,,
ANZ ,,5.35,NO,NO,1,2,2016,,
HDFC BANK, MUMBAI,0,NO,NO,0,2,2016,,
STUP CONSULTANTS, B'LORE,4,NO,NO,3,2,2016,,
TOYOTA KIRLOSKAR MOTOR,,_,NO,NO,_,2,2016,,
CENTURY LINK, NOIDA,5.5,NO,NO,1,2,2016,,
HINDUSTAN COCA-COLA,,0,NO,NO,0,2,2016,,
99 ACRES.COM,,,NO,NO,0,2,2016,,
PARUL UNIVERSITY, VADODARA,5.87,NO,NO,4,2,2016,,
L & T INFRA, CHENNAI,,NO,NO,6,2,2016,,
VIGNAN'S FOUNDATION, A.P,4.8,NO,NO,6,2,2016,,
AMDOCS, PUNE,4.5,NO,NO,,2,2016,,
ZF WIND POWER, COIMBATORE,0,NO,NO,0,2,2016,,
UBER.COM,,0,NO,NO,0,2,2016,,
CARBORUNDAM UNIVERSAL,,0,NO,NO,0,2,2016,,
DQUOTIENT, BLORE,0,NO,NO,0,2,2016,,
CAPILLARY TECH, BLORE,0,NO,NO,0,2,2016,,
TECHNIP INDIA, CHENNAI,6, N0,NO,0,2,2016,,
RELIANCE JIO, MUMBAI,0, N0,NO,0,2,2016,,
MAXIM INTEGRATED,,8,NO,NO,,2,2016,,
EATON, PUNE,8,NO,NO,1,2,2016,,
MINDTREE, B'LORE,0,NO,NO,0,2,2016,,
DELTECS INFOTECH, MUMBAI,5,NO,NO,,2,2016,,
PIDILITE INDUSTRIES,,0,NO,NO,0,2,2016,,
AEQUS PVT LTD, B'LORE,8,NO,NO,,2,2016,,
CDD SOCIETY, B'LORE,3,NO,NO,,2,2016,,
PIRAMAL ENTERPRISES, MUMBAI,0,NO,NO,0,2,2016,,
GULF CONTRACTING, QATAR,0,NO,NO,0,2,2016,,
AAKASH INSTITUTE, NEW DELHI,5.61,NO,NO,2,2,2016,,
COAL INDIA, KOLKATA,0,NO,NO,0,2,2016,,
TECH MAHINDRA,,3.6,NO,NO,6,2,2016,,
NARAYANA GROUP, B'LORE,3.6,NO,NO,5,2,2016,,
ZELO, B'LORE,0,NO,NO,0,2,2016,,
RANG DE, B'LORE,4.5,NO,NO,0,2,2016,,
AFCONS INFRA, MUMBAI,4.5,NO,NO,3,2,2016,,
BIOCON LTD, B'LORE,0,NO,NO,0,2,2016,,
ROBOSOFT, UDUPI,4,NO,NO,1,2,2016,,
SONATA SOFTWARE, B'LORE,4,2 years,NO,0,2,2016,,
NTT DATA FA, B'LORE,0,NO,NO,0,2,2016,,
PRDC, B'LORE,,NO,NO,,2,2016,,
HPCL, MUMBAI,0,NO,NO,0,2,2016,,
MOOG INDIA TECH, B'LORE,4.2,NO,NO,,2,2016,,
HOME CREDIT INDIA, GURGAON,6.74,NO,NO,2,2,2016,,
PETRONET MHB LTD, M'LORE,0,NO,NO,0,2,2016,,
GAIN THEORY, B'LORE,5.2,NO,NO,0,2,2016,,
JAIN COLLEGE OF ENGG,,4,NO,NO,3,2,2016,,
CERNER CORP, B'LORE,0,NO,NO,0,2,2016,,
EMC B'LORE,,,NO,NO,1,2,2016,,
THE DAKSHANA FOUNDATION,,0,NO,NO,0,2,2016,,
I-EXCEEDE TECHNOLOGY, B'LORE,0,NO,NO,,2,2016,,
EDUTEL TECHNOLOGIES, B'LORE,7.2,NO,NO,,2,2016,,
DALMIA CEMENT, CHENNAI,0,NO,NO,0,2,2016,,
