NAME OF THE COMPANY,,"PAY PACKAGE 
 (Rs. in lakhs p.a.)",BOND,BOND VALUE,NO. PLACED,p_t_id,year,,
SPAN INFOTECH,,4.5,2 Years,NO,4,1,2016,,
GENERAL MOTORS,,6.5,NO,NO,3,1,2016,,
ZOSTEL HOSPITALITY,,7,NO,NO,0,1,2016,,
SIEMENS TECH, B'LORE,5,NO,NO,3,1,2016,,
TATA MOTORS, MUMBAI,6.15,NO,NO,10,1,2016,,
AXIS BANK, MUMBAI,0,NO,NO,0,1,2016,,
INFORMATICA, B'LORE,10.4,NO,NO,1,1,2016,,
ONE CONVERGENCE, HYD,0,NO,NO,0,1,2016,,
L&T CONST., CHENNAI,5.11,NO,NO,11,1,2016,,
UTC, HYD,6.2,NO,NO,2,1,2016,,
V E COMMERCIAL VEHICLES, CHENNAI,5,NO,NO,5,1,2016,,
ACT PVT LTD, B'LORE,7,NO,NO,0,1,2016,,
BMM ISPAT, BELLARY,3.6,3 years,NO,3,1,2016,,
09 SOLUTIONS, B'LORE,8,NO,NO,5,1,2016,,
NESTLE INDIA, ,6,NO,NO,2,1,2016,,
INTEL TECHNOLOGY, B'LORE,8.15,NO,NO,7,1,2016,,
HP R&D, B'LORE,10.5,NO,NO,2,1,2016,,
IPINFUSION SOFTWARE,B'LORE,5.5,NO,NO,4,1,2016,,
KULIZA TECH, B'LORE,6.5,NO,NO,0,1,2016,,
AVERY DENNISON, B'LORE,5,NO,NO,0,1,2016,,
SCHNEIDER ELECTRIC, B'LORE,8,2years,NO,0,1,2016,,
BHARAT FORGE, PUNE,4.5,NO,NO,2,1,2016,,
ESSENTIAL ENERGY,,5.5,NO,NO,2,1,2016,,
NUTANIX TECH,,12.75,NO,NO,0,1,2016,,
LATENT VIEW, HYD,4.5,NO,NO,4,1,2016,,
TEMENOS INDIA, CHENNAI,7.58,NO,NO,0,1,2016,,
TEACH FOR INDIA, B'LORE,,NO,NO,,1,2016,,
TOTAL ENVIRONMENT, B'LORE,4.5,NO,NO,3,1,2016,,
C-DOT, B'LORE,9.8,5years,NO,1,1,2016,,
QUEST GLOBAL, B'LORE,4.25,NO,NO,0,1,2016,,
TATA TECHNOLOGIES, PUNE,4,NO,NO,2,1,2016,,
ASTRAZENECA, B'LORE,8.5,NO,NO,2,1,2016,,
CREDR.COM,,8,NO,NO,2,1,2016,,
ZILLIOUS, NEW DELHI,7,NO,NO,0,1,2016,,
BOSCH LTD, B'LORE,5.7,NO,NO,1,1,2016,,
AVANTI LEARNING. B'LORE,,4,NO,NO,5,1,2016,,
CLAIRVOLEX, GURGAON,8,NO,NO,3,1,2016,,
FIAT INDIA, PUNE,4.6,NO,NO,1,1,2016,,  
EXXONMOBIL, GURGAON,8.88,NO,NO,4,1,2016,,
GOOGLE INDIA,  B'LORE,25,NO,NO,2,1,2016,,
INSZOOM,,8,NO,NO,0,1,2016,,
ORBEES MEDICAL,,6,2 Years,2 Lakhs,3,1,2016,,
KPMG,,6,NO,NO,6,1,2016,,
WEBONICE LAB, PUNE,5.5,NO,NO,0,1,2016,,
MERCEDES BENZ R&D, B'LORE,0,NO,NO,0,1,2016,,
ORANGE COUNTY, B'LORE,0,NO,NO,0,1,2016,,
ACCORD S.W., B'LORE,3.3,NO,NO,1,1,2016,,
EVIVE SOFTWARE, B'LORE,7.5,NO,NO,0,1,2016,,
PRODUCTION MODELLING,NAGPUR,6,NO,NO,3,1,2016,,
THINK & LEARN,B'LORE,6,NO,NO,6,1,2016,,
GLENMARK PHARMA, MUMBAI,8,NO,NO,3,1,2016,,
ABB LTD,CHENNAI,4.36,NO,NO,1,1,2016,,
EXPICIENT S.W., B'LORE,5,NO,NO,1,1,2016,,
PEOPLE INTERACTIVE, MUMBAI,5.5,NO,NO,0,1,2016,,
POWER2SME,,7,NO,NO,1,1,2016,,
DIAMLER INDIA, CHENNAI,4.5,2 Years,NO,2,1,2016,,
WS ATKINS GLOBAL, B'LORE,0,NO,NO,0,1,2016,,
GENPACT HEADSTRONG, NOIDA,4,NO,NO,2,1,2016,,
HERO MOTOCORP, N DELHI,6.5,NO,NO,,1,2016,,
VA TECH WABAG, CHENNAI,4.23,NO,NO,1,1,2016,,
INFOSYS TECHNOLOGIES, B'LORE,6,NO,NO,0,1,2016,,
MAHINDRA & MAHINDRA, MUMBAI,5.75,NO,NO,3,1,2016,,
HEXAGON, HYD,5,NO,NO,3,1,2016,,
FRACTAL ANALYTICS, MUMBAI,6,NO,NO,,1,2016,,
ZOHO CORPORATION, B'LORE,4.6,NO,NO,0,1,2016,,
SKF INDIA LTD, PUNE,4.25,NO,NO,1,1,2016,,
L&T INFO, MUMBAI,3,NO,NO,0,1,2016,,
TARGET INDIA,B'LORE,11.63,NO,NO,5,1,2016,,
ODESSA TECH, B'LORE,0,NO,NO,0,1,2016,,
ROLLS ROYCE, B'LORE,0,NO,NO,0,1,2016,,
EY-GDN, B'LORE,4.3,NO,NO,2,1,2016,,
VENTURE FACTORY,,6,NO,NO,2,1,2016,,
MISYS SOFTWARE,B'LORE,5.22,NO,NO,0,1,2016,,
L&T TECH, B'LORE,3.6,NO,NO,0,1,2016,,
CRISIL, CHENNAI,5,NO,NO,2,1,2016,,
TCE, B'LORE,0,NO,NO,0,1,2016,,
BOMBARDIER, GUJARATH,4.75,NO,NO,0,1,2016,,
FIAT INDIA, PUNE,4.6,NO,NO,1,1,2016,,
IDRIVE SOFTWARE, B'LORE,8,NO,NO,2,1,2016,,
SKYLARK DRONES,,0,NO,NO,0,1,2016,,
RESONANCE EDUVENTURES, KOTA,4.8,NO,NO,2,1,2016,,
BANK OF AMERICA,GURGAON,5.5,NO,NO,12,1,2016,,
HYUNDAI CONST, PUNE,3.5,NO,NO,0,1,2016,,
ALCATEL LUCENT,,7,NO,NO,0,1,2016,,
CYBERPLACE.COM, HYD,9.27,NO,NO,0,1,2016,,
KFIL,,4.26,NO,NO,0,1,2016,,
CARTHERO TECH, B'LORE,17,NO,NO,0,1,2016,,
TOYOTA KIRLOSKAR AUTO, B'LORE,3.53,NO,NO,1,1,2016,,
CA TECH, HYD,8,NO,NO,1,1,2016,,
VEDANTA GROUP, GOA,4.5,NO,NO,3,1,2016,,
SOCIETE GENERALE GLOBAL,,8.5,NO,NO,,1,2016,,
ATOS INDIA, B'LORE,3.1,NO,NO,4,1,2016,,
CARTESIAN CONSULTING, B'LORE,4.18,NO,NO,2,1,2016,,
TIME INC INDIA, B'LORE,8,NO,NO,3,1,2016,,
COROMANDEL, HYD,5,NO,NO,1,1,2016,,
BPCL, MUMBAI,11.5,NO,NO,9,1,2016,,
JSW STEEL, BELLARY,4.27,NO,NO,17,1,2016,,
AIRVANA NETWORKS, B'LORE,5.7,NO,NO,0,1,2016,,
TRES VISTA FINANCIAL, MUMBAI,8,NO,NO,1,1,2016,,
ANZ ,,0,NO,NO,0,1,2016,,
HDFC BANK, MUMBAI,8.67,NO,NO,,1,2016,,
STUP CONSULTANTS, B'LORE,0,NO,NO,0,1,2016,,
TOYOTA KIRLOSKAR MOTOR,,,NO,NO,0,1,2016,,
CENTURY LINK, NOIDA,5.5,NO,NO,0,1,2016,,
HINDUSTAN COCA-COLA,,7,NO,NO,2,1,2016,,
99 ACRES.COM,,0,NO,NO,0,1,2016,,
PARUL UNIVERSITY, VADODARA,0,NO,NO,0,1,2016,,
L & T INFRA, CHENNAI,0,NO,NO,0,1,2016,,
VIGNAN'S FOUNDATION, A.P,0,NO,NO,0,1,2016,,
AMDOCS, PUNE,4.5,NO,NO,,1,2016,,
ZF WIND POWER, COIMBATORE,4,NO,NO,,1,2016,,
UBER.COM,,12.23,NO,NO,,1,2016,,
CARBORUNDAM UNIVERSAL,,4.25,NO,NO,1,1,2016,,
DQUOTIENT, BLORE,4,NO,NO,2,1,2016,,
CAPILLARY TECH, BLORE,5.23,NO,NO,2,1,2016,,
TECHNIP INDIA, CHENNAI,0, N0,NO,0,1,2016,,
RELIANCE JIO, MUMBAI,4.5, N0,NO,9,1,2016,,
MAXIM INTEGRATED,,0,NO,NO,0,1,2016,,
EATON, PUNE,0,NO,NO,0,1,2016,,
